Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?",Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What country do you work in?,Do you work remotely?,Inferred Tech Role,Why or why not bring up with a potential employer in an interview(mental health issue)_cleaned?,Why or why not bring up with a potential employer in an interview(physical health issue)_cleaned?
0,0,1,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,No,Some of them,Some of them,None did,Some of them,Yes,Yes,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Maybe,I don't know,Yes,Yes,mood-disorder,Yes,1,Sometimes,Often,28,Male,United States of America,United States of America,Never,1,same reason as above,being honest upfront shows respect for the future employer if they see that as a stumbling block in hiring you then it probably wouldnt have been a good fit in the long run anyways
0,1,0,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No,1,"No, none did",Not Aware,None did,None did,I don't know,"Yes, all of them",Some of them,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,No,No response,Yes,Yes,Yes,anxiety-disorder,Yes,1,Never,Rarely,34,Male,United States of America,United States of America,Sometimes,1,it isnt relevant to my ability as a programmer,it isnt relevant to my ability as a programmer
0,1,1,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,Aware,Some did,Some did,"Yes, always",None of them,None of them,"Yes, they all did",None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,No response,Yes,Yes,Yes,mood-disorder,Yes,1,Rarely,Sometimes,30,Female,United States of America,United States of America,Always,1,also seems highly likely to be irrelevant at the point that i am in an interview,seems highly unlikely to be relevant
0,1,0,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,1,I don't know,Not Aware,None did,None did,I don't know,"Yes, all of them","Yes, all of them",None did,Some of them,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",Maybe,No,Maybe,Maybe,unknown,No,0,Not applicable to me,Sometimes,44,Male,Canada,Canada,Sometimes,1,too private,i might have special needs that would be impossible to hide
0,1,1,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,None of them,I don't know,None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,No response,Yes,Yes,Yes,anxiety-disorder | obsessive-compulsive-disorder,Yes,1,Sometimes,Sometimes,35,Male,United States of America,United States of America,Always,0,because of the potential for discrimination,because of the potential for discrimination
0,1,1,I don't know,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Some did,Aware,Some did,Some did,Sometimes,Some of them,Some of them,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,No response,Yes,Yes,Yes,mood-disorder,Yes,1,Rarely,Sometimes,52,Male,United States of America,United States of America,Sometimes,0,i dont think its appropriate to discuss those issues during early interviews id wait to discuss with hr after i have a feel for whats going on,i dont think its appropriate to discuss those issues during early interviews id wait to discuss with hr after i have a feel for whats going on
0,0,1,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",Not Aware,None did,None did,No,"Yes, all of them",None of them,None did,Some of them,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,anxiety-disorder | mood-disorder | eating-disorder | obsessive-compulsive-disorder,Yes,1,Sometimes,Often,32,Female,Canada,Canada,Always,1,i have found their reaction to be a good indicator of whether our ideals are aligned  whether its a good fit for me as a workplace,no response
0,1,1,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,1,"No, none did",Aware,None did,None did,I don't know,Some of them,Some of them,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,34,Male,United Kingdom,United Kingdom,Never,1,no response,no response
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I observed",Yes,I don't know,Yes,Yes,personality-disorder | attention-deficit-hyperactivity-disorder,Yes,1,Often,Often,25,Female,United States of America,United States of America,Always,1,bad idea,no response
0,1,0,I don't know,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,1,I don't know,Not Aware,None did,Some did,I don't know,"Yes, all of them",None of them,None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No response,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Rarely,Sometimes,31,Male,United States of America,United States of America,Sometimes,1,stigmatized uncomfortable for both parties mental instability frowned upon in technical roles,physical impairments arent traditionally stigmatized far less judgements and resulting talk behind backs compared to mental
0,0,1,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",Aware,None did,None did,"Yes, always",None of them,None of them,"Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,No,healthy,No,0,Not applicable to me,Not applicable to me,26,Male,United States of America,United States of America,Sometimes,1,i feel it would definitely affect my chances at being accepted,it might affect their opinion of me
0,1,0,Yes,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,Some did,Aware,Some did,Some did,"Yes, always",None of them,Some of them,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,35,Male,United States of America,United States of America,Never,1,i dont have any,i dont have any
0,0,1,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,1,"Yes, they all did",Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,No response,I don't know,Maybe,No,healthy,No,0,Not applicable to me,Not applicable to me,25,Male,Germany,Germany,Sometimes,1,no response,depends on the illness
0,0,1,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,Some did,Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,No,healthy,Yes,1,Sometimes,Often,33,Male,Canada,Canada,Sometimes,1,i feel like this would put you out of the running for a position almost immediately or at least be used as a negative mark against you,like all interviews i feel like not putting your best foot forward puts you at a disadvantage
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,I don't know,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No response,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,38,Male,United States of America,United States of America,Sometimes,0,again only if it could effect my job performance,only if it would impact my performance to the job
0,1,0,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,No,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,42,Male,Germany,Germany,Never,1,no response,no response
0,0,0,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No,1,"No, none did",Aware,Some did,None did,I don't know,Some of them,Some of them,Some did,None of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,I don't know,Yes,Yes,mood-disorder,Yes,1,Rarely,Often,27,Male,Netherlands,Netherlands,Sometimes,1,same reason as above,im afraid i wouldnt be hired for the job even when the physical issue would not have been relevant for my work
0,1,1,I don't know,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,I don't know,Some of them,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,No,Maybe,unknown,No,1,Sometimes,Often,35,Male,Germany,Germany,Never,1,no response,no response
0,1,0,I don't know,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes,1,I don't know,Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,"Yes, all of them",Maybe,No,"Yes, I think it would","No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,Maybe,unknown,No,1,Sometimes,Often,34,Female,United Kingdom,United Kingdom,Never,1,i think most employers would straight up discount me for that,id be wary of them seeing potential time out for appointments etc as a negative
0,0,1,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Maybe,Yes,Yes,Yes,anxiety-disorder | mood-disorder,Yes,1,Sometimes,Often,32,Other,United Kingdom,United Kingdom,Never,1,see above,i wouldnt want to be judged against someone healthy
0,1,1,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,Maybe,Maybe,"Yes, I think it would",Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,mood-disorder,Yes,1,Rarely,Often,32,Other,Germany,Germany,Never,1,depending on the exact nature of the issue i might think they wouldnt want to hire me,depending on the exact nature of the issue i might think they wouldnt want to hire me
0,1,1,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,Aware,None did,Some did,"Yes, always",None of them,None of them,"Yes, they all did",None of them,No,No,"No, I don't think it would","No, they do not",Very open,No,No response,No,Yes,Yes,anxiety-disorder | mood-disorder | substance-use-disorder | addictive-disorder,Yes,1,Often,Sometimes,30,Male,United States of America,United States of America,Sometimes,1,seems unnecessary its asinine to bring up unnecessary conversation ever,seems unnecessary
0,1,1,I don't know,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No,0,No previous employer,No History,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous employer,No previous workplace,No,No,Maybe,Maybe,Somewhat open,No,No response,I don't know,Yes,Maybe,unknown,No,0,Rarely,Often,31,Male,United States of America,United States of America,Never,1,again when properly coped with it shouldnt affect my ability to do the job i expect as with physical health issues ill be allowed time needed when coping is necessary,it doesnt have any bearing on my ability to accomplish the job when properly coped with
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Not Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,None of them,No,Maybe,Maybe,Maybe,Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,37,Male,Czech Republic,Czech Republic,Sometimes,1,same as before,completely dependant on the relevance of the mental health issue and its impact on the work being applied for
0,0,1,Yes,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,Some of them,None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,No,Yes,Yes,mood-disorder | personality-disorder,No,0,Not applicable to me,Sometimes,36,Male,United Kingdom,United Kingdom,Sometimes,1,its no different from a physical health issue if it can potentially affect my performance then i should be clear,its good to be upfront about everything
0,1,1,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes,1,"No, none did",Not Aware,None did,None did,Sometimes,Some of them,None of them,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,33,Male,Germany,Germany,Never,1,same as before,i dont think is the place nor the time for this
0,0,1,Yes,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No,1,Some did,Aware,Some did,Some did,I don't know,Some of them,Some of them,Some did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,mood-disorder,Yes,1,Sometimes,Often,44,Male,United States of America,United States of America,Always,1,same answer as for physical health issues though admittedly im a little slower to bring up mental health concerns due to stigma fears,these days im more comfortable expressing anything that could be a factor in getting work done it helps me screen employers if anything is an insurmountable problem for them then it is clearly not a place i want to work
0,1,1,No,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did",Aware,None did,None did,No,Some of them,None of them,None did,"Yes, all of them",Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,Maybe,unknown,No,0,Never,Sometimes,29,Male,United Kingdom,United Kingdom,Never,1,no response,no response
0,1,1,No,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,"No, none did",Not Aware,None did,None did,I don't know,I don't know,None of them,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,No response,Yes,Yes,Maybe,unknown,Yes,1,Rarely,Sometimes,29,Male,United Kingdom,United Kingdom,Sometimes,1,no response,no response
0,1,1,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes,1,Some did,Not Aware,None did,Some did,I don't know,Some of them,Some of them,I don't know,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",No,I don't know,No,No,healthy,No,0,Not applicable to me,Not applicable to me,44,Male,Canada,Canada,Always,0,because my employer needs to support me in order to get the best work possible from me,the employer needs to know that i would need support in order to do my best work for them
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",Not Aware,None did,Some did,"Yes, always",Some of them,Some of them,None did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,mood-disorder | personality-disorder,No,0,Rarely,Sometimes,34,Male,United States of America,United States of America,Sometimes,1,in most regards it doesnt concern the employer if it becomes an issue then id be willing to discuss it,an employer weighs the impact to qualityavailability of work and the cost to productivity as well as the cost in my case to ensure that i have the proper equipment im obese  unfortunately its not something thats avoidable for the employer to notice
0,1,1,Yes,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No,1,Some did,Aware,Some did,Some did,"Yes, always",Some of them,None of them,Some did,Some of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,Yes,Yes,anxiety-disorder,No,1,Rarely,Sometimes,40,Male,United States of America,United States of America,Always,0,for me it depends on how the interview is going  if its clear that its a dead end i would not bring it up,for me it depends on how the interview is going  if its clear that its a dead end i would not bring it up
0,1,1,Yes,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No,1,Some did,Not Aware,None did,Some did,I don't know,Some of them,None of them,None did,None of them,Maybe,No,Maybe,Maybe,Very open,Maybe/Not sure,No,Yes,Yes,Yes,mood-disorder,No,1,Often,Often,46,Female,Netherlands,Netherlands,Never,0,too easy to map mental health to ability to do the job,depends on the social perception of the issue
1,2,1,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",Not Aware,None did,None did,I don't know,Some of them,None of them,Some did,Some of them,Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,mood-disorder | anxiety-disorder,No,1,Sometimes,Often,28,Male,Lithuania,Lithuania,Sometimes,1,no response,no response
0,1,0,No,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No,1,"No, none did",Not Aware,None did,None did,No,I don't know,None of them,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No response,No,No,No,healthy,No,0,Not applicable to me,Not applicable to me,41,Male,United States of America,United States of America,Never,1,no response,no response
0,0,1,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,1,"No, none did",Not Aware,None did,None did,No,"Yes, all of them","Yes, all of them",None did,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,anxiety-disorder | mood-disorder | personality-disorder,Yes,1,Sometimes,Often,33,Male,United States of America,United States of America,Sometimes,1,seems like it would deter them from hiring me,seems like it would deter them from hiring me
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Some did,Aware,Some did,Some did,Sometimes,Some of them,Some of them,I don't know,Some of them,Yes,Maybe,"No, I don't think it would",Maybe,Very open,"Yes, I observed",No,Yes,Yes,Yes,anxiety-disorder | mood-disorder | substance-use-disorder | addictive-disorder,Yes,1,Rarely,Often,32,Male,United States of America,United States of America,Sometimes,0,i think the only time would be with on call work ie being available  with no set schedule as this causes far too much stress in my life i refuse and have quit jobs that rely on this method the job that i quit was promised to have a schedule in the interview,i would bring up a physical health issue with a prospective employer if i were to find that the job required tasks that i was unable to complete or safely attempt that could cause injury to myself or others
0,0,1,I don't know,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No,1,Some did,Aware,None did,Some did,I don't know,Some of them,Some of them,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,No response,I don't know,Maybe,Maybe,unknown,No,0,Not applicable to me,Sometimes,45,Male,United States of America,United States of America,Sometimes,1,theres likely nothing they could do to mitigate any performance problems as a result of a mental health issue so i probably wouldnt discuss,if the issue would impact my performance without some form of concessionsconsideration on the party of the employer i would otherwise i wouldnt
1,2,0,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,Not Aware,None did,None did,I don't know,I don't know,Some of them,I don't know,Some of them,Yes,Yes,"No, I don't think it would",Maybe,Neutral,Maybe/Not sure,No response,Yes,Yes,Maybe,unknown,Yes,1,Not applicable to me,Not applicable to me,43,Male,United Kingdom,United Kingdom,Sometimes,0,would want to know if management support is going to work,because id want to know if they can provide an ergonomic keyboard or are happy with a worker plugging their own keyboard into their computers
